,name,phone,address,optime
15,트레이드타워점,02-803-9994,서울시 강남구 영동대로 511 트레이드타워 지하1층,평일 07:00~21:00  | 주말/공휴일 10:00~21:00
16,삼성봉은사거리점,02-3443-5618,"서울시 강남구 영동대로 607 1,2층", 평일 07:00-22:30 | 주말/공휴일 07:00-22:00
17,잠실신천점,02-416-9520,서울시 송파구 석촌호수로 118 1층,월-금 07:00~22:00 | 주말&공휴일 07:00~21:00
18,서초지파이브점,02-3477-5580,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",월-토 07:00~22:00 I 일 08:00~22:00
19,논현동수면센터점,02-3443-5575,서울시 강남구 논현로 717 1층,월-금 07:00~21:00 | 토 08:00~20:00 | 일/공휴일 08:00~20:00
20,삼성전자강남사옥점,02-2055-1142,서울시 서초구 서초대로74길 11 지하2층, 월-금 07:00~18:00 | 토/일/공휴일 휴점
21,삼성생명강남사옥점,02-581-5562,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,월-금 07:00~18:00 | 토/일/공휴일 휴점
22,방배카페골목점,02-592-7794,서울특별시 서초구 방배중앙로 187,월-일 08:00~22:30
23,역삼포스틸타워뒷점,02-554-9962,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,"평일 07:00~22:00 | 토요일 08:00~22:00 | 일,공휴일 09:00~20:00 "
24,테헤란로하이닉스뒷점,02-538-9927,서울시 강남구 테헤란로 70길 12 1층,평일 07:00~22:00 | 주말 07:00~21:00 
25,삼성봉은사로점,02-538-4523,서울시 강남구 봉은사로 628 엘슨빌딩1층,매일 07:00~22:00 
26,방이점,02-415-5561,서울시 송파구 오금로 11길 7,매일 7:00 - 24:00
27,매봉역점,02-529-9947,서울시 강남구 논현로 38길 42 418호,월-금 07:00~22:00 | 토 07:30~22:00 | 일 08:00-21:00
28,남부터미널역점,02-523-3671,서울시 서초구 서초중앙로 43 로얄타워1층,평일 07:00~22:00 | 토/일/공휴일 07:00~21:00
29,강남역랭기지타워점,02-563-3655,서울시 강남구 테헤란로4길 28 826-28호 1층,"월~금 07:00-21:00 | 토,일 07:30~21:00 "
30,도심공항타워점,02-2016-5330,서울시 강남구 테헤란로87길 36 공항타워 1층,"월-수 : 6:30-22:00 | 목,금 : 6:30-23:00 | 주말&공휴일 : 8:00-22:00 "
31,청담카페점,02-514-5622,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~22:00 |
32,광화문점,02-3210-2326,서울 종로구 서린동 136 센트리얼빌딩 1층,월-금 07:00~23:00 | 토요일 7:30~23:00 | 일/공휴일 09:00~23:00 | 
33,경희궁의아침점,02-730-8896,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,월-목 07:00~21:00 | 금 06:30~21:00 | 주말/공휴일 09:00~21:00
34,홍대역점,02-333-4278,서울시 마포구 홍익로 6길 26,월~일 08:00 ~ 24:00
35,순화점,02-2220-8198,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,월-금 07:00~22:00 | 주말/공휴일 09:00~22:00
36,종로관철동점,02-738-5333,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층","월-금 07:00~24:00  | 토 08:00~24:00 | 일,공휴일 08:00~24:00 | "
37,소공동삼화빌딩점,02-753-8004,서울 중구 남대문로7길 16 한컴빌딩 1층,"월-금 07:00~21:30 | 토,일요일 08:00~22:00"
38,강변테크노마트점,02-3424-5480,서울시 광진구 광나루로56길 85 테크노마트9층35호,매일 10:00~21:00 | 
39,외대앞점,02-959-7750,서울시 동대문구 이문로 106 1~3층,"평일 07:00~22:00  | 주말,공휴일 07:30~22:00"
40,고대안암역점,02-953-6652,서울시 성북구 개운사길8 101-3 1층,"평일 07:00~24:00  | 주말,공휴일 07:00~24:00  |"
41,순화동라마다호텔점,02-3789-3347,서울시 중구 칠패로 27 151호,월-금 07:00~21:00 | 토/일/공휴일 휴점
42,세종문화회관옆점,02-720-5561,서울 종로구 새문안로 9길 25 1층,월-금 07:00~22:00 | 토/일/공휴일 09:00~22:00
43,신촌점,02-363-5572,서울시 서대문구 창천 18-26호 B1,평일 07:30~22:00 l 토/일/공휴일 08:00~22:00
44,건대스타시티점,02-444-9861,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~22:00
45,하나은행경복궁역점,02-733-5108,"서울시 종로구 사직로 130,1 현대적선빌딩1층",월-금 07:00~22:00 | 주말/공휴일 09:00~22:00
46,중계동은행사거리점,02-931-3055,서울시 노원구 한글비석로 263 1층,"월-목 07:00~22:00 | 금 07:00~23:00 | 토 07:30~23:00  | 일,공휴일 07:30~22:00 | "
47,서울스퀘어점,02-6456-8907,서울시 중구 한강대로 416 지하1층,평일 07:00~21:30ㅣ주말 10:00~21:00
48,목동점,02-2654-5981,서울시 양천구 목동동로 293 현대41타워1층,일-목 07:30-22:00 | 금-토 07:30-23:00
49,여의도34번지점,02-557-0510,서울 영등포구 국제금융로 52 심팩빌딩 1층,평일 06:30~18:00 | 주말/공휴일 휴점
50,여의도교보증권점,02-783-6058,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,평일 06:30-22:30 | 주말 08:00-20:00
51,여의도순복음교회옆점,02-780-7758,서울시 영등포구 여의서로 43 한서리버파크2층,"월~금 07:00~22:30 l 토요일,공휴일 08:00-22:00 l 일요일 07:30-22:00"
52,부산광복동점,051-243-9105,부산광역시 중구 창선동 2가 8-2,일-목 09:00-21:00 | 금-토 09:00-22:00
53,대전탄방동점,042-471-9805,대전시 서구 문정로76 1층, 평일 08:30~21:30 l 주말 08:30~21:30
54,일산웨스턴돔1호점,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,평일 08:00~22:00 | 주말 09:00-22:00
55,분당서현점,031-705-8926,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",평일 07:00-23:00 l 주말 /공휴일 08:00-23:00
56,분당플라자점,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,평일 07:30-22:00 I 주말/공휴일 08:00-22:00
57,분당차병원점,031-781-0471,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)","(추석연휴) 9/28 07:00~22:00 / 9/29 08:00~22:00 / 9/30 07:00~22:00 / 10/1 08:00~22:00 / 10/2 07:00~22:00 / 10/3 08:00~22:00 |  월,화,일 7-22ㅣ수-금 7-23ㅣ토 7 - 22ㅣ일,공휴일 8-22"
58,분당수내점,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,평일 7:30~22:00ㅣ주말 8:00~22:00 
59,동탄라마다호텔점,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호, 월-금 07:30~23:00 I 토 08:00~23:00 | 일 08:00~22:00
60,창원상남동점,055-211-0737,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,평일 08:30-21:30 | 주말 09:00-21:30
61,청주지웰시티점,043-238-3151,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",평일/주말 07:30~22:00 
62,무교CBTL점,070-4140-7003,서울 중구 세종대로 136 파이낸스빌딩 지하2층,월-금 10:00~21:30 | 주말/공휴일 12:00~21:00 
63,국기원사거리점,02-552-7106 ,서울시 강남구 테헤란로 8길 42 1층,"월-금 08:00~21:00 | 토/일 09:00~21:00 I (8,9일)10:00~18:00"
64,무교점,02-753-2374,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4",월-금 07:00~22:00 | 토요일 09:00~21:00 | 일/공휴일 09:00~21:00
65,남대문점,02-777-4217,서울시 중구 후암로110 581호 서울시티타워1층,(추석연휴) 9/28~10/3 휴무 | 월-금 07:00~21:00 | 토요일 09:00 ~16:00 일요일/공휴일 휴점 
66,대학로마로니에점,02-742-3318,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층","월 08:30~22:30 | 화~금 08:30~23:00 | 토 09:00~23:00 | 일, 공휴일 09:00~22:30 | "
67,인사점,02-783-2043,서울시 종로구 낙원동 272 오라카이스위츠 1층,월-금 06:00-22:30 | 토-일 07:00-22:30
68,테헤란로비젼타워점,02-558-7101,서울시 강남구 테헤란로 312 707-2번지1층,"월-금 07:00~21:00 | 토-일 09:00~21:00 I (8,9일)공휴일 10:00~18:00"
69,서울대입구역점,02-882-3101,"서울시 관악구 관악로 161 층일부 2,3층","평일 07:00~24:00 I 주말,공휴일 08:00~24:00 I "
70,코엑스인터점,02-569-3103,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,평일 07:00~21:00ㅣ주말/공휴일 07:00~21:00
71,뉴압구정점,02-545-3181,서울시 강남구 논현로 167길 9 낙산프라자 1층,월-목 07:00~23:00 | 금 07:00~24:00 | 토 08:00~24:00 | 일/공휴일 08:00~22:00
72,디큐브시티점,02-2210-9484,서울시 구로구 경인로 662 디큐브시티 4층,월-목 10:30-22:00 | 금-토 10:30-22:30 | 일 10:30-22:00
73,현대자동차여의도점,02-783-3391,서울시 영등포구 국제금융로 20 1층,월-금 06:30-22:30 | 토 07:30-22:30 | 일 07:30-22:00
74,선릉로93길점,02-552-3177,서울시 강남구 선릉로93길 6(역삼동) 1층,월-금 07:00~23:00 I 토 08:00~22:30 I 일/공휴일 08:00~22:00 
75,강남역먹자골목점,02-552-6311,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,월-목 07:30-23:00 | 금 07:00-24:00 | 토 08:00-24:00 | 일 08:00-23:00
76,삼성로점,02-552-9311 ,"서울시 강남구 삼성로 551 1층,2층","월-수 07:00 - 22:00 | 목,금 07:00~23:00 | 주말,공휴일 07:30 - 22:00"
77,선릉로86길점,02-2051-8875,서울시 강남구 선릉로86길 11,"월-금 7:30~23:00 | 토,일 08:00~22:00 "
78,안국역점,02-722-3356 ,"서울시 종로구 율곡로 47 1,2층",월-금 07:00~23:00 | 토요일 07:00~23:00 l 일요일/공휴일 07:00~23:00
79,뉴교보타워옆점,02-591-5177,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층","월-목 07:00~22:30 | 금 07:00~23:00 | 토,일 07:00~23:00"
80,IFC MALL2호점,02-6137-5054  ,서울시 영등포구 국제금융로10 IFC Mall L2,"월 ~ 금 06:30~22:00 l 주말,공휴일 07:30~22:00 "
81,상암SBS미디어센터점,02-2039-9027 ,서울시 마포구 상암산로 82 SBS프리즘타워 1층,평일 07:00-22:00 | 주말 08:30-20:00
82,마리오아울렛점,02-857-5501  ,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,매일 10:30-21:00
83,현대자동차남양연구소점,031-357-8103 ,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,평일 : 06:30 ~ 18:30 / 주말(공휴일) : 휴무
84,서초뱅뱅사거리점,02-523-8841 ,"서울시 서초구 강남대로 267 2,3층",월-목 07:00-22:00 | 금 07:00-22:30 | 토 07:30-22:00 | 일 08:00-21:30
85,현대자동차성내점,02-485-3361 ,"서울시 강동구 천호대로 1096 1,2F",월-수 07:00-22:00 | 목-토 07:00-23:00 | 일 07:00-22:00
86,수원인계점,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,월-금 07:00~23:00 | 토 08:00~23:00 | 일 08:00~22:00
87,판교아브뉴프랑점,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,평일 07:00-22:00 l 주말/공휴일 07:00-22:00
88,일산원마운트점,031-961-6520,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,월-금 09:00~22:00 | 토요일 10:00~22:00 | 일/공휴일 10:00~22:00
89,남양연구소C1식당점,031-357-8172,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,평일 07:00-18:30 | 주말/공휴일 휴무
90,여의도교보증권카페점,02-785-8845,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,평일 07:00~20:00  | 토요일 10:00 - 18:00 l 일요일/공휴일 휴점
91,압구정현대아파트점,02-518-3350,서울시 강남구 압구정로29길65 지하1층,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 07:30~21:00
92,역삼역4번출구점,02-508-1137,서울시 강남구 테헤란로143 고운빌딩1층,"월-금 07:00~22:00 | 토,일요일 08:00~20:00 | 공휴일 08:00~20:00"
93,부평문화의거리점,032-507-9901,"인천광역시 부평구 시장로29 1,2층",월-목 09:00-23:00 | 금-토 09:00-24:00 | 일 09:00-23:00
94,강남대로센터점,02-565-3345,서울시 강남구 강남대로442 흥국화재빌딩 2층,매일 07:00-23:00
95,구로G-ValleyMall,02-6344-3966,서울시 구로구 디지털로300 지밸리비즈플라자 2층,평일 07:00-22:00 | 주말 09:00-21:00
96,내방역7번출구유중아트점,02-592-8861,서울시 서초구 방배로178 유중아트센터1층,월-금 07:00-21:00 | 토/일/공휴일 8:00-21:00 
97,도심공항점,02-551-6456 ,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,"평일 07:00~22:00ㅣ주말,공휴일 09:00~22:00 "
98,타임스퀘어점,02-2635-8830,서울시 영등포구 영중로15 타임스퀘어 1층,월-목 07:00-22:00 | 금 07:00-22:00 | 토 08:00-22:30 | 일 08:00-22:00
99,차병원사거리점,02-542-8813,서울시 강남구 봉은사로207 KJ타워1층,월-금 07:00~22:30 | 토-일요일 08:00~22:00 
100,파르나스몰점,02-538-2008 ,서울시 강남구 테헤란로521 파르나스몰 지하1층,"평일 및 주말,공휴일 07:00~22:00"
101,광화문역1번출구점,02-723-3360,서울시 종로구 새문안로5가길 7 1층 일부,월-금 07:00~22:00 | 주말 10:00~20:00
102,남양연구소PT동점,031-355-1346,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,"월~금 07:00~18:30 | 토,일 휴무"
103,현대프리미엄아울렛김포점,031-8048-2618,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호,매일 10:00~21:00
104,여의도신영증권별관점,02-782-1125,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,월~수 07:00~22:00 | 목 07:00~22:30 | 금 07:00~23:00 | 토 08:00~23:00 | 일 08:00~22:00
105,이태원제일기획옆점,02-792-3560,서울시 용산구 이태원로220(한남동) 1층,월~목 07:00~22:00 | 금 07:00~23:00 | 토 08:00~23:00 | 일 08:00~22:00 
106,강남역GT타워옆점,02-592-0053,서울시 서초구 서초대로73길12 세계빌딩1층,월-금 07:00~23:00 | 토 07:30~23:00 | 일 07:30~22:00
107,광교아브뉴프랑점,031-216-9308,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",월~금 07:00~23:00 | 토~일 08:00~23:00
108,광장동대한제지점,02-458-8166,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~22:00 |
109,신천역점,02-417-8851,서울시 송파구 올림픽로100 효창타워1층,| 월-목 07:00~22:00 | 금 07:00~22:30 | 토 07:00~22:30 | 일 08:00~22:00
110,인천공항탑승동130gate앞점,032-743-7213 ,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,매일 06:30~22:00
111,인천공항탑승동105gate앞점,032-743-7223,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,매일 06:30~22:00
112,석촌호수점,02-415-1235,서울시 송파구 석촌호수로 222 제이타워 1층," | 월-목 07:00~22:00 | 금,토 07:00~22:30 | 공휴일 07:00~22:30"
113,오목교역사거리점,02-2653-8577 ,"서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층",| 월 ~금 07:00~22:00 | 토/일 08:00~22:00
114,을지로입구역점,02-752-3348,"서울시 중구 남대문로10길 6 1,2층","월~금 06:30 ~ 23:00 |  토,일 08:00 ~ 22:00"
115,이천하이닉스점,031-8094-7013,경기 이천시 부발읍 하이닉스반도체,평일 06:30~22:00 | 토 09:00~19:00 | 일 09:00~19:00 | 공휴일 휴무
116,송도홈플러스점,032-822-5905,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,매일 10:00~22:00
117,올림픽공원북2문앞점,02-471-2372,서울시 강동구 강동대로193 1층,"월-수,일 7:00 - 22:00 | 목-토 7:00 - 23:00"
118,삼성역글라스타워뒷점,02-552-3363,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,"평일 07:00~22:30ㅣ주말,공휴일 08:00~21:00 "
119,범계역로데오점,031-476-9082,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층,| 월-금 07:30~24:00 I 토/일/공휴일 07:30~24:00
120,포스코옆삼성로86길점,02-569-7501,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,평일 07:00~22:00 | 주말/공휴일 :09:00~17:00
121,상암한국지역정보개발원점,02-376-9162,서울시 마포구 성암로301 KLID한국지역정보개발원 1층,| 평일 07:00~21:00 | 주말 08:00~21:00 | 공휴일 11:00~19:00
122,분당정자점,031-786-1906,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,평일/주말/공휴일 07:00-22:00
123,신논현역점,02-569-9061,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,월-금 07:00~23:00 | 토 08:00~23:00 | 일/공휴일 08:00~22:00
124,강서그랜드아이파크점,02-2699-7462,서울시 강서구 화곡6동 1095번지 1층,매일 07:00~22:00 ㅣ 
125,연대동문회관점,02-362-8301,"서울시 서대문구 대신동 50-5 1층,2층(B동)",월-금 06:30~22:00 | 토요일 08:00~22:00 | 일/공휴일 08:00~22:00 
126,장안점,02-2249-9826,"서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체"," | 평일 08:00~22:00  | 주말,공휴일 08:00~22:00 | "
127,수원망포역점,031-273-8751,경기도 수원시 영통구 영통로 214번길 8 1층,월~금요일 07:00~23:00 I 토/일/공휴일 07:00~23:00 
128,매헌역점,02-2058-0921,서울시 서초구 동산로 1  1층,월~목 07:00~22:30 | 금 07:00~23:00 | 주말 07:30~22:00
129,문래동점,02-2069-3157,서울시 영등포구 문래동6가 5번지 1층, | 월 ~금 07:30~22:00 | 토/일 08:30~22:00 
130,해운대점,051-746-8214,부산시 해운대구 해운대 해변로277 다옴빌딩1층,월-목 08:00~21:30 ㅣ금-토 08:00~23:00ㅣ일 08:00~21:30
131,역삼동태광타워점,02-569-9867,서울시 강남구 역삼동 718-20  태광타워 1층,"| 월-금 07:00~21:00 | 토,일 공휴일 09:00~20:00 "
132,수지동천점,031-896-9044,경기 용인시 수지구 손곡로 95 송란빌딩 1층,매일  08:00~22:00
133,파주운정홈플러스점,031-949-1408,경기도 파주시 청암로 17번길 17 1층,"평일 10:00~22:00ㅣ주말 10:00~22:00ㅣ공휴일 10:00~22:00 (둘째, 넷째 수요일 휴무)  "
134,잠원논현역점,02-541-7404,서울시 서초구 신반포로47길 5 건물전체 1~3층,월-금 07:00~22:00 | 토 08:00~21:00 | 일/공휴일 08:00~21:00
135,천호역점,02-488-5912,서울시 강동구 올림픽로 659 쌍용플래티넘리버 1층,월-목 7 - 22 ㅣ 금 7 - 23 ㅣ 토 8 - 23 ㅣ 일 8 - 22
136,홍대역8번출구점,02-338-9463,서울시 마포구 양화로18안길 7 2층,평일 10:00~22:00 | 주말 09:30~22:00
137,산본역점,031-399-8812,경기도 군포시 광정로58 1층 104호 및 2층,월~토 08:00~23:00 | 일 08:00~22:00
138,원주AK플라자점,033-748-0631,강원도 원주시 봉화로1 AK플라자원주점 1층,매일 10:30~20:00
139,화정중앙공원점,031-979-9402,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호,매일 08:00~23:00
140,강남역12번출구점,02-569-5838,서울특별시 강남구 테헤란로 111 2층,월~금 07:00~22:00 | 토 09:00~22:00 | 일 09:00~21:00
141,서초부띠크모나코점,02-3478-5145,서울특별시 서초구 서초대로 397 부띠크모나코 1층,월-금 07:30~21:00 I 토-일 08:00~21:00 
142,송파파크하비오점,02-449-6881,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113,월~목 07:00~22:00 | 금 07:00~22:30 | 토 08:00~22:30 | 일 08:00~22:00 
143,문정역엠스테이트점,02-6177-9080,"서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147",평일 07:00~21:30 | 주말 08:00~21:00
144,상봉역점,02-493-8902,서울특별시 중랑구 망우로 291 1층," 평일 07:00~22:00  | 주말,공휴일 08:00~22:00 | "
145,강동경희대병원앞점,02-481-9938,서울특별시 강동구 동남로 885 양지빌딩 1층,월~목 07:00~22:00 | 금~일 07:00~23:00
146,노원역점,02-952-9577,"서울시 노원구 노해로 490, 길빌딩 2층",월~목 07:00~23:00 | 금 07:00~00:00 | 토 08:00~00:00 | 일 08:00 ~ 23:00 
147,종각역점,02-739-6268,서울시 종로구 종로 70 2층,일~목 10:00~22:00 | 금~토 10:00~23:00
148,평택소사점,031-692-2405,"경기도 평택시 평남로 862, 로이드빌딩 1층",월-일  08:00 ~ 22:00
149,몽촌토성역점,02-2141-0407,"서울시 송파구 방이동 44-2, 장은빌딩 1층",월~목 07:00~22:00 | 금~일 07:00~23:00
150,도곡동지오빌딩점,02-2058-3027,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층",평일 07:00~21:00 | 주말 08:00~21:00 
151,강북구청앞점,02-994-8878,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)",월~금 07:30~23:00 | 토 08:00~23:00 | 일 08:00~22:00
152,송도트리플스트리트점,032-310-9644,"인천 연수구 송도과학로 16번길 33-4 D동 119호,207호",일~목 08:00~22:00 | 금~토 08:00~23:00
153,구의삼성쉐르빌점,02-2201-8953,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층,매일 07:00~22:30
154,여의도SK증권빌딩점,02-6484-5150,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층,평일 06:30~22:30 | 주말 08:00~21:00
155,현대시티몰가든파이브점,02-2673-2110,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층,평일 10:30~20:30 | 주말 10:30~21:00
156,위례2차아이파크점,02-449-9703,서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층,월~금 08:00~21:30 | 토 07:30~21:00 | 일 08:00~21:00
157,한성대입구역점,02-766-7951,서울특별시 성북구 삼선교로 12 1층,평일 07:00~22:00 | 주말 08:00~22:00
158,한티역디마크빌딩점,02-2052-6590,서울특별시 강남구 도곡로 408 디마크빌딩 1층,월~목 07:00~22:00 | 금 07:00~22:30 | 토~일 07:00~22:00
159,논현201-5번지점,02-541-9563,"서울특별시 강남구  강남대로112길 20 1층, 2층",월-금 07:00~21:30 | 토 09:00~21:00 | 일/공휴일 10:00~21:00 | 
160,수원송죽DT점,031-248-6086,경기도 수원시 장안구 경수대로 989,매일 07:00-23:00
161,동교동삼거리점,02-336-9198 ,서울특별시 마포구 양화로 196(동교동),매일 08:00~22:00
162,성남신흥점,031-759-6675,경기도 성남시 수정구 수정로 190 (신흥동),월~목 07:00~22:00 | 금 07:00~23:00 | 토~일 08:00~23:00
163,응암동점,02-389-6283,"서울시 은평구 은평로 121(응암동), 메디컬빌딩",평일 08:00~22:00 | 주말 09:00~22:00
164,성균관대자연과학캠퍼스점,031-278-7640,"경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층",월~금 07:00~21:00 | 토 09:00~17:00 | 일 휴무
165,IFC MALL 3호점,02-6137-5056,서울시 영등포구 국제금융로10 IFC Mall L2(2층),평일 07:00~22:00 | 주말 09:30~22:00
166,동탄능동DT점,031-267-4182,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)",매일 07:00~23:00
167,수원인계DT점,031-898-8818,경기도 수원시 팔달구 인계로79 (인계동),매일 07:00~23:00
168,분당차병원본관앞점,031-8017-8243,경기도 성남시 분당구 야탑로64 DS타워 1층,매일 07:00 ~ 22:00
169,신용산역래미안점,02-2074-1049,서울시 용산구 한강대로95,월~금 07:00~22:30 | 토~일 08:00~22:30
170,선릉역3번출구세방빌딩점,02-2051-9328,서울특별시 강남구 선릉로 433 세방빌딩 1층," 월-금 07:00~22:00 | 주말,공휴일 08:00-21:00 "
171,광명아브뉴프랑점,02-899-7460,경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점,월-목 07:00~22:00 | 금/토/일/공휴일 07:00~22:30
172,새문안로점,02-739-5806,"서울특별시 종로구 새문안로 91 고려빌딩 1,2층",평일 07:00~22:00 | 주말 08:00~22:00
173,문정동환인제약빌딩점,02-449-9569,서울특별시 송파구 법원로6길 11 환인빌딩 1층,월~금 07:00~21:30 | 토 08:00~21:30 | 일 08:00~21:00
174,경희대점,02-3295-4552,서울시 동대문구 경희대로 10 (회기동),월~금 08:30 ~ 21:00 | 토~일 09:00~21:00
175,파주DT점,031-8070-0028,경기도 파주시 문발로 131,월~금 07:30~21:00 | 토~일 08:00 ~ 21:00
176,창원시티세븐점,055-600-5361,"경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)",평일/주말 08:00~22:00
177,종로구청앞점,02-739-6151,서울특별시 종로구 종로3길 34,월-금 07:00~22:00 | 주말 09:00~22:00 
